metaprogram,class,n_patients,aggr_patient_rho_n15,aggr_cell_rho,grade_rho,grade_p,grade_BH_FDR,top_genes
MP5,Proliferation (cell-cycle),6,0.568,0.197,0.677,0.00393,0.0094,"H2AFZ, HMGB2, NUSAP1, TOP2A, SMC4, TUBA1B, CKS1B, HMGN2, STMN1, UBE2C, H2AFV, TUBB, BIRC5, HIST1H4C, ARL6IP1, CENPF, CKS2, PTTG1, UBE2T, CDKN3"
MP6,Immune-like,5,0.589,0.328,0.518,0.04,0.0735,"CCL4, CCL4L2, CD74, HLA-DRA, HLA-DPA1, HLA-DRB1, IER3, CCL3, BTG1, CCL3L1, CXCL8, G0S2, HLA-DPB1, HLA-DQA1, IL1B, HLA-DRB5, MT2A, SPP1, PLAUR, SOD2"
MP1,Other,15,0.029,0.122,0.243,0.365,0.4867,"BTG2, NR4A1, KLF6, ATF3, KLF4, ZFP36, IRF1, EGR1, CEBPD, GADD45B, FOSB, NFKBIZ, IER2, NFKBIA, PPP1R15A, SOCS3, CCNL1, KLF2, JUNB, DUSP1"
MP12,Other,3,0.204,0.264,0.07,0.796,0.8684,"BAX, BBC3, BTG3, CDKN1A, DDB2, FDXR, GADD45A, GDF15, H1FX, MDM2, MEST, MMP2, NUPR1, PGF, PHLDA3, NINJ1, AEN, CAVIN2, HSPA1A, HSPA1B"
MP3,Other,9,0.1,-0.067,-0.045,0.869,0.869,"LDHA, SLPI, NDUFA4L2, FTH1, KRT18, FTL, GAPDH, IGFBP6, MT2A, WFDC2, MT1X, IGFBP3, CKB, GSN, PGK1, CAV1, TAGLN2, APOD, CEBPB, NUPR1"
MP4,Other,8,-0.061,-0.219,-0.179,0.507,0.6084,"CLIC3, NOV, NDUFA4L2, TNNC1, CRIP2, IGFBP6, SLPI, CCND1, CKB, CRABP2, SH3BGRL3, TAGLN2, ADIRF, C19orf33, S100A6, ASS1, EZR, CD177, KLF2, TUBA1B"
MP9,Other,3,-0.089,-0.089,-0.409,0.116,0.174,"ACTA2, MYL9, PERP, TAGLN, TPM1, TPM2, TPM4, ACTG2, CALD1, CSRP1, CTGF, GLIPR1, APOD, NPW, PDLIM7, APOC1, GPX4, LGALS1, ACTB, CNN1"
MP8,Other,3,-0.589,-0.43,-0.511,0.0429,0.0735,"CRABP1, SLC26A2, APOE, DNASE1L3, GJB6, IFI27, IFI27L2, ISYNA1, ITM2C, PTGDS, GJB2, PLTP, RETREG1, TMEM205, AKAP12, CLEC3B, DNPH1, FN1, FXYD1, ISLR"
MP10,ECM/mesenchymal,3,-0.786,-0.409,-0.677,0.00393,0.0094,"APOE, OGN, PTN, SPARCL1, IGFBP2, IGFBP6, CLU, CLDN11, APOD, GJB2, PTGDS, CLEC3B, CRABP1, ITM2A, ATP1A2, IFI27, ISLR, MGP, PLTP, RAMP2"
MP7,ECM/mesenchymal,4,-0.729,-0.584,-0.697,0.00271,0.0094,"CEMIP, COL3A1, SULF1, SLC26A2, NOV, CRIM1, LTBP2, NEAT1, SLC12A2, HLA-DRA, VCAN, CTGF, KIAA1324L, MT-ND6, ABLIM1, COL1A1, KCNQ1OT1, AHNAK, EGFL6, ITIH5"
MP11,ECM/mesenchymal,3,-0.704,-0.482,-0.703,0.00238,0.0094,"TNNT2, TNNC1, APOE, NOV, TAGLN, ADIRF, IFI27, OMD, SLC47A1, WNT6, CRABP2, FGL2, MYL9, SLC26A2, SLC4A4, CLDN11, FAM107A, ID1, CCND1, EPHX1"
MP2,ECM/mesenchymal,10,-0.646,-0.491,-0.741,0.00101,0.0094,"IGFBP7, MGP, COL1A1, IFI27, IFI6, DCN, TIMP3, TIMP1, BGN, FBLN1, TAGLN, COL3A1, SFRP4, VCAN, MFAP4, GSN, PENK, SAT1, OLFML3, COL8A1"
