"gsm","grade","score","ncells"
"GSM7476436","Normal",-0.770395022760716,319
"GSM7476437","Normal",-1.56298328884232,1147
"GSM7476438","I",-0.28625573688169,4485
"GSM7476439","I",-1.01183440375878,1895
"GSM7476440","I",-1.04248438097838,4412
"GSM7476441","I",0.19397695411509,3942
"GSM7476442","I",-1.30779201143025,9542
"GSM7476443","I",-0.192224474151945,2530
"GSM7476444","I",-0.0526805985043967,9088
"GSM7476445","I",-0.919872396954934,3310
"GSM7476446","II",1.28914462476548,5650
"GSM7476447","II",0.48599065729552,3962
"GSM7476448","II",0.58106601845005,2181
"GSM7476449","II",0.67585478634272,2620
"GSM7476450","III",1.03746337254164,5607
"GSM7476451","III",0.975439099373594,3611
"GSM7476452","III",0.954689497057076,441
"GSM7476453","III",0.952897304322244,6975
