"gsm","grade","n_copykat_tumour","n_copykat_aneuploid_tumour","aneuploid_fraction","grade_ord","cnv_eligible","broad_balanced_pseudobulk_score","copykat_aneuploid_pseudobulk_score"
"GSM7476438","I",1431,1406,0.982529699510832,1,TRUE,-0.501894449732101,-0.497853901357039
"GSM7476439","I",1423,1280,0.89950808151792,1,TRUE,-1.22396993669963,-1.16355765582534
"GSM7476440","I",1370,992,0.724087591240876,1,TRUE,-1.30849906627072,-1.40965978633615
"GSM7476441","I",1247,1001,0.802726543704892,1,TRUE,-0.0362442484678432,-0.100997393677239
"GSM7476442","I",1341,1014,0.756152125279642,1,TRUE,-1.54086086385735,-1.6602820194927
"GSM7476443","I",1362,1276,0.936857562408223,1,TRUE,-0.37258800623287,-0.363013609585549
"GSM7476444","I",1389,1331,0.958243340532757,1,TRUE,-0.323042633021712,-0.280889181723198
"GSM7476445","I",1436,0,0,1,FALSE,NA,NA
"GSM7476446","II",1342,951,0.708643815201192,2,TRUE,1.06428717674499,1.07996334795822
"GSM7476447","II",1473,1405,0.953835709436524,2,TRUE,0.313260716288031,0.351657810513491
"GSM7476448","II",1436,1070,0.745125348189415,2,TRUE,0.422657996281497,0.326577363363066
"GSM7476449","II",1453,1382,0.951135581555403,2,TRUE,0.498676711795669,0.551738085224745
"GSM7476450","III",1340,1188,0.886567164179105,3,TRUE,0.862285247011332,0.98845017103462
"GSM7476451","III",1456,1404,0.964285714285714,3,TRUE,0.705735584296212,0.704339325984766
"GSM7476452","III",420,242,0.576190476190476,3,TRUE,0.730417897713833,0.78230376184643
"GSM7476453","III",1433,1387,0.967899511514306,3,TRUE,0.709777874150671,0.691223682071869
