"analysis","term","estimate","ci_low","ci_high","p","note"
"canonical","program OR per 1-SD",14.74,2.773,224.1,0.0001634,"grade-adjusted (categorical) Firth; manuscript headline"
"LOEO_summary","OR per 1-SD (min/median/max)",14.23,10.9,18.54,0.0008984,"leave-one-recurrence-event-out; p column = worst-case p"
"bootstrap","program OR per 1-SD",17.55,4.452,1419,0,"2000 resamples; p column = P(coef<=0); finite coefficient fits 2000/2000"
"CI_profile","program OR per 1-SD",14.74,2.773,224.1,0.0001634,"profile-likelihood CI (reported)"
"CI_wald","program OR per 1-SD",14.74,2.322,93.55,0.0001634,"Wald symmetric CI (for contrast only)"
"model_grade_only","penalized log-likelihood",-18.62,NA,NA,NA,"Firth model: recurrence ~ categorical grade"
"model_program_only","program OR per 1-SD",22.94,4.919,327.4,3.651e-08,"no grade covariate"
"model_grade_categorical","program OR per 1-SD",14.74,2.773,224.1,0.0001634,"grade as factor (canonical)"
"model_grade_ordinal","program OR per 1-SD",12.75,2.8,169.3,0.0001234,"grade as ordinal 1/2/3"
"model_add_program_PLR","penalized-likelihood-ratio chi-square",14.21,NA,NA,0.0001634,"nested comparison: grade-only vs categorical-grade + program"
"within_grade_1","exploratory within-grade program OR per full-cohort 1-SD",NA,NA,NA,NA,"n=43; recurrence events=1; non-events=42; median score recurrent=0.752, non-recurrent=-0.223; effect not estimated because one outcome group had <3 observations"
"within_grade_2","exploratory within-grade program OR per full-cohort 1-SD",7.572,1.408,175.1,0.01292,"n=19; recurrence events=5; non-events=14; median score recurrent=1.234, non-recurrent=0.404; exploratory Firth estimate shown"
"within_grade_3","exploratory within-grade program OR per full-cohort 1-SD",NA,NA,NA,NA,"n=6; recurrence events=4; non-events=2; median score recurrent=1.868, non-recurrent=-0.019; effect not estimated because one outcome group had <3 observations"
"LOEO_detail","drop event 1",11.74,2.371,175.5,0.0004812,"one recurrence event removed"
"LOEO_detail","drop event 2",14.15,2.454,223.4,0.0006208,"one recurrence event removed"
"LOEO_detail","drop event 3",18.54,3.006,392.2,0.000134,"one recurrence event removed"
"LOEO_detail","drop event 4",11.13,2.554,157.3,0.0002017,"one recurrence event removed"
"LOEO_detail","drop event 5",15.82,2.814,270.5,0.0001819,"one recurrence event removed"
"LOEO_detail","drop event 6",10.9,2.16,197.2,0.0008984,"one recurrence event removed"
"LOEO_detail","drop event 7",14.89,2.683,227.2,0.0002489,"one recurrence event removed"
"LOEO_detail","drop event 8",14.32,2.575,227.8,0.0002569,"one recurrence event removed"
"LOEO_detail","drop event 9",14.9,2.751,225.5,0.0002362,"one recurrence event removed"
"LOEO_detail","drop event 10",12.51,2.517,168.4,0.0003234,"one recurrence event removed"
