"gsm","grade","aggr_old","aggr_new","n_post","grade_ord"
"GSM7476436","Normal",-0.077,-0.079,273,NA
"GSM7476437","Normal",-0.108,-0.112,983,NA
"GSM7476438","I",-0.038,-0.044,3480,1
"GSM7476439","I",-0.067,-0.069,1831,1
"GSM7476440","I",-0.066,-0.072,3237,1
"GSM7476441","I",-0.01,-0.012,2222,1
"GSM7476442","I",-0.126,-0.137,8143,1
"GSM7476443","I",-0.043,-0.049,1338,1
"GSM7476444","I",-0.045,-0.05,6110,1
"GSM7476445","I",-0.064,-0.097,1761,1
"GSM7476446","II",0.071,0.07,5289,2
"GSM7476447","II",0.005,0.002,3494,2
"GSM7476448","II",0.039,0.028,1547,2
"GSM7476449","II",0.019,0.018,2371,2
"GSM7476450","III",0.054,0.055,4718,3
"GSM7476451","III",-0.005,-0.009,3102,3
"GSM7476452","III",0.073,0.027,130,3
"GSM7476453","III",0.041,0.039,6408,3
