"symbol","rho","pval","fdr"
"FBXL19-AS1",0.901,1.89e-06,0.000301
"PI3",0.856,2.29e-05,0.000908
"PITX1",0.869,1.23e-05,0.000908
"CEP55",0.856,2.29e-05,0.000908
"IQGAP3",0.844,3.9e-05,0.00124
"CKS2",0.831,6.7e-05,0.00178
"PTX3",0.812,0.000135,0.0019
"HMMR",0.805,0.000167,0.0019
"CXCL5",0.814,0.000125,0.0019
"CDCA7",0.812,0.000135,0.0019
"NUF2",0.805,0.000167,0.0019
"EME1",0.805,0.000167,0.0019
"PAQR4",0.805,0.000167,0.0019
"MAPK10",-0.818,0.000108,0.0019
"TROAP",0.799,0.000206,0.00204
"FBXO43",0.799,0.000206,0.00204
"TMEM255A",0.793,0.000247,0.00218
"PROKR1",-0.794,0.00024,0.00218
"PCLAF",0.786,0.000305,0.00247
"KL",-0.786,0.000311,0.00247
"DOK7",0.768,0.000512,0.00387
"DTL",0.748,0.000866,0.00626
"PITPNM3",-0.741,0.00101,0.007
"SSPN",-0.735,0.00118,0.00781
"GPR35",0.709,0.00208,0.0127
"ECE1",-0.709,0.00208,0.0127
"SPAAR",0.697,0.00271,0.0154
"BICDL1",0.697,0.00271,0.0154
"AGR2",0.691,0.00305,0.0163
"SEC14L2",-0.69,0.00308,0.0163
"ALPL",-0.684,0.00349,0.0179
"COL7A1",0.671,0.00443,0.019
"SPP1",0.671,0.00443,0.019
"RECQL4",0.671,0.00443,0.019
"TRIM46",0.677,0.00393,0.019
"MAEL",-0.672,0.00439,0.019
"IMPG2",-0.678,0.0039,0.019
"FBXO32",-0.665,0.00497,0.0208
"ANO3",-0.654,0.00601,0.0245
"RAP1GAP",-0.646,0.00692,0.0275
"SPIRE2",0.639,0.00769,0.0284
"XPNPEP2",-0.639,0.00769,0.0284
"ART3",-0.641,0.00745,0.0284
"RCAN2",-0.626,0.00943,0.0341
"GJA3",0.62,0.0103,0.036
"PTGER2",-0.62,0.0104,0.036
"FOXI2",-0.618,0.0108,0.0364
"GBP6",-0.613,0.0116,0.0385
"QRFPR",-0.605,0.013,0.0421
"MPPED1",-0.601,0.0138,0.044
"NME1",0.594,0.0152,0.0473
"SRSF12",-0.588,0.0166,0.0507
"TRIP13",0.562,0.0233,0.07
"SLC23A3",0.556,0.0253,0.0732
"KCNK3",-0.556,0.0252,0.0732
"FAM162B",-0.553,0.0262,0.0744
"SLC1A6",0.525,0.0368,0.102
"NRG4",0.524,0.0372,0.102
"DOC2A",0.518,0.04,0.108
"ILDR2",-0.511,0.0429,0.114
"MYBL2",0.505,0.0461,0.116
"HS6ST3",-0.506,0.0453,0.116
"TLL2",-0.505,0.0461,0.116
"UPP2",-0.503,0.047,0.117
"EPPIN",-0.494,0.052,0.125
"TUBA4B",-0.495,0.0513,0.125
"CHCHD10",0.479,0.0603,0.137
"KCNIP4",-0.483,0.0581,0.137
"CYP3A7",-0.482,0.0588,0.137
"SCGN",-0.48,0.0596,0.137
"ATRNL1",0.473,0.0643,0.142
"LINC01825",0.474,0.0639,0.142
"NCAM2",-0.467,0.0685,0.145
"LRRC31",-0.468,0.0676,0.145
"CHGB",-0.467,0.0683,0.145
"DLGAP1-AS5",-0.45,0.0803,0.168
"NF2",-0.447,0.0823,0.17
"CDKN2B-AS1",0.445,0.0845,0.172
"LINC00887",0.428,0.098,0.197
"BACH2",-0.422,0.104,0.206
"PRAC2",0.415,0.11,0.215
"TIMP3",-0.409,0.116,0.224
"GABRG1",-0.407,0.118,0.225
"GPD1",-0.371,0.158,0.291
"GPM6B",0.371,0.158,0.291
"CXXC4",-0.371,0.158,0.291
"GRHL3",-0.359,0.172,0.315
"POPDC3",-0.353,0.18,0.318
"PCDH11X",0.354,0.178,0.318
"PTPRT",-0.356,0.177,0.318
"TLL1",-0.352,0.182,0.318
"TONSL",0.345,0.19,0.329
"MYEOV",-0.342,0.195,0.333
"HECW2",-0.339,0.199,0.337
"ADAMTS5",0.332,0.209,0.349
"RNF24",0.32,0.228,0.369
"HHIP",-0.32,0.228,0.369
"RAB33A",-0.32,0.228,0.369
"ARX",0.317,0.232,0.372
"COL23A1",-0.3,0.258,0.411
"HBE1",0.292,0.273,0.429
"DEFB1",0.288,0.28,0.436
"FER1L6",0.283,0.289,0.446
"SYT7",-0.275,0.303,0.463
"SYNGR3",0.272,0.308,0.467
"RPL39L",0.262,0.327,0.471
"EPHA5",-0.261,0.329,0.471
"AQP3",0.262,0.327,0.471
"MIR9-3HG",-0.261,0.329,0.471
"SMOX",-0.262,0.327,0.471
"MT1A",-0.262,0.327,0.471
"IRF6",-0.259,0.332,0.471
"PLCXD3",-0.247,0.357,0.502
"SLC52A1",0.24,0.37,0.516
"PTCHD1",0.23,0.391,0.532
"WNK2",0.23,0.391,0.532
"LSAMP",0.23,0.391,0.532
"TESK2",-0.224,0.405,0.546
"CCDC73",-0.221,0.412,0.55
"SEC14L6",-0.217,0.419,0.555
"GIPR",0.211,0.433,0.569
"ADAMTS19",-0.204,0.448,0.584
"CRYBB2",-0.198,0.462,0.597
"PCP4L1",-0.189,0.484,0.621
"ABCB1",-0.185,0.492,0.626
"HMGCS2",0.181,0.503,0.635
"SUGCT",0.166,0.538,0.674
"TMEM139",0.163,0.546,0.676
"CCDC178",-0.162,0.548,0.676
"PLPPR4",-0.157,0.562,0.685
"IL1RL1",-0.156,0.565,0.685
"SLC4A10",-0.153,0.571,0.687
"LINC01305",0.151,0.578,0.691
"LTK",0.134,0.62,0.725
"BCO2",0.134,0.62,0.725
"CCDC81",0.134,0.62,0.725
"NOS1",0.127,0.64,0.743
"TNNT2",0.121,0.654,0.754
"LINC01134",0.115,0.67,0.767
