"metaprogram","rank","gene"
"MP1",1,"BTG2"
"MP1",2,"NR4A1"
"MP1",3,"KLF6"
"MP1",4,"ATF3"
"MP1",5,"KLF4"
"MP1",6,"ZFP36"
"MP1",7,"IRF1"
"MP1",8,"EGR1"
"MP1",9,"CEBPD"
"MP1",10,"GADD45B"
"MP1",11,"FOSB"
"MP1",12,"NFKBIZ"
"MP1",13,"IER2"
"MP1",14,"NFKBIA"
"MP1",15,"PPP1R15A"
"MP1",16,"SOCS3"
"MP1",17,"CCNL1"
"MP1",18,"KLF2"
"MP1",19,"JUNB"
"MP1",20,"DUSP1"
"MP1",21,"HES1"
"MP1",22,"SERTAD1"
"MP1",23,"SLC2A3"
"MP1",24,"CYR61"
"MP1",25,"DNAJB1"
"MP1",26,"ZFP36L1"
"MP1",27,"NR4A2"
"MP1",28,"BHLHE40"
"MP1",29,"CSRNP1"
"MP1",30,"JUN"
"MP1",31,"RHOB"
"MP1",32,"KLF10"
"MP1",33,"FOS"
"MP1",34,"MAFF"
"MP1",35,"HSPA1B"
"MP1",36,"BTG1"
"MP1",37,"CDKN1A"
"MP1",38,"ID3"
"MP1",39,"IER5"
"MP1",40,"CCL2"
"MP1",41,"ID1"
"MP1",42,"SAT1"
"MP1",43,"CEBPB"
"MP1",44,"HSPH1"
"MP1",45,"NEAT1"
"MP1",46,"CTGF"
"MP1",47,"HSPA1A"
"MP1",48,"CXCL2"
"MP1",49,"JUND"
"MP1",50,"MCL1"
"MP2",1,"IGFBP7"
"MP2",2,"MGP"
"MP2",3,"COL1A1"
"MP2",4,"IFI27"
"MP2",5,"IFI6"
"MP2",6,"DCN"
"MP2",7,"TIMP3"
"MP2",8,"TIMP1"
"MP2",9,"BGN"
"MP2",10,"FBLN1"
"MP2",11,"TAGLN"
"MP2",12,"COL3A1"
"MP2",13,"SFRP4"
"MP2",14,"VCAN"
"MP2",15,"MFAP4"
"MP2",16,"GSN"
"MP2",17,"PENK"
"MP2",18,"SAT1"
"MP2",19,"OLFML3"
"MP2",20,"COL8A1"
"MP2",21,"SFRP1"
"MP2",22,"CTGF"
"MP2",23,"FRZB"
"MP2",24,"HLA-B"
"MP2",25,"IGFBP5"
"MP2",26,"MMP2"
"MP2",27,"TAGLN2"
"MP2",28,"TGM2"
"MP2",29,"CYP1B1"
"MP2",30,"SFRP2"
"MP2",31,"ELN"
"MP2",32,"CFB"
"MP2",33,"FN1"
"MP2",34,"IGFBP2"
"MP2",35,"IL32"
"MP2",36,"LTBP2"
"MP2",37,"TM4SF1"
"MP2",38,"IFITM1"
"MP2",39,"MFAP5"
"MP2",40,"SPARC"
