"metaprogram","n_patients","aggr_spearman","grade_rho","grade_p","aggr_patient_rho","grade_fdr"
"MP5",6,0.197,0.677,0.00393,0.568,0.0094
"MP6",5,0.328,0.518,0.04,0.589,0.0735
"MP1",15,0.122,0.243,0.365,0.029,0.4867
"MP12",3,0.264,0.07,0.796,0.204,0.8684
"MP3",9,-0.067,-0.045,0.869,0.1,0.869
"MP4",8,-0.219,-0.179,0.507,-0.061,0.6084
"MP9",3,-0.089,-0.409,0.116,-0.089,0.174
"MP8",3,-0.43,-0.511,0.0429,-0.589,0.0735
"MP10",3,-0.409,-0.677,0.00393,-0.786,0.0094
"MP7",4,-0.584,-0.697,0.00271,-0.729,0.0094
"MP11",3,-0.482,-0.703,0.00238,-0.704,0.0094
"MP2",10,-0.491,-0.741,0.00101,-0.646,0.0094
